"chemin","class","classe_CLOC","classe_LOC","classe_DC"
"org/jfree/data/xml/CategorySeriesHandler.java","org.jfree.data.xml.CategorySeriesHandler","78.0","61.0","1.28"
"org/jfree/chart/LegendItemSource.java","org.jfree.chart.LegendItemSource","45.0","4.0","11.25"
"org/jfree/data/time/ohlc/OHLCSeries.java","org.jfree.data.time.ohlc.OHLCSeries","83.0","38.0","2.18"
"org/jfree/chart/text/AttributedStringUtils.java","org.jfree.chart.text.AttributedStringUtils","45.0","43.0","1.05"
"org/jfree/chart/labels/BoxAndWhiskerXYToolTipGenerator.java","org.jfree.chart.labels.BoxAndWhiskerXYToolTipGenerator","85.0","59.0","1.44"
"org/jfree/data/gantt/TaskSeriesCollection.java","org.jfree.data.gantt.TaskSeriesCollection","313.0","323.0","0.97"
"org/jfree/chart/renderer/xy/XYErrorRenderer.java","org.jfree.chart.renderer.xy.XYErrorRenderer","204.0","217.0","0.94"
"org/jfree/chart/block/LengthConstraintType.java","org.jfree.chart.block.LengthConstraintType","73.0","55.0","1.33"
"org/jfree/data/xy/XYIntervalDataItem.java","org.jfree.data.xy.XYIntervalDataItem","78.0","56.0","1.39"
"org/jfree/chart/renderer/xy/WindItemRenderer.java","org.jfree.chart.renderer.xy.WindItemRenderer","73.0","85.0","0.86"
"org/jfree/chart/annotations/XYPointerAnnotation.java","org.jfree.chart.annotations.XYPointerAnnotation","242.0","261.0","0.93"
"org/jfree/chart/urls/CustomPieURLGenerator.java","org.jfree.chart.urls.CustomPieURLGenerator","106.0","95.0","1.12"
"org/jfree/chart/title/ShortTextTitle.java","org.jfree.chart.title.ShortTextTitle","104.0","119.0","0.87"
"org/jfree/chart/ui/VerticalAlignment.java","org.jfree.chart.ui.VerticalAlignment","67.0","57.0","1.18"
"org/jfree/chart/util/BooleanList.java","org.jfree.chart.util.BooleanList","67.0","24.0","2.79"
"org/jfree/data/KeyToGroupMap.java","org.jfree.data.KeyToGroupMap","125.0","169.0","0.74"
"org/jfree/chart/editor/DefaultNumberAxisEditor.java","org.jfree.chart.editor.DefaultNumberAxisEditor","54.0","98.0","0.55"
"org/jfree/chart/renderer/AreaRendererEndType.java","org.jfree.chart.renderer.AreaRendererEndType","74.0","49.0","1.51"
"org/jfree/chart/urls/CategoryURLGenerator.java","org.jfree.chart.urls.CategoryURLGenerator","51.0","6.0","8.5"
"org/jfree/data/xy/AbstractIntervalXYDataset.java","org.jfree.data.xy.AbstractIntervalXYDataset","75.0","40.0","1.88"
"org/jfree/chart/ui/StandardGradientPaintTransformer.java","org.jfree.chart.ui.StandardGradientPaintTransformer","77.0","81.0","0.95"
"org/jfree/chart/axis/QuarterDateFormat.java","org.jfree.chart.axis.QuarterDateFormat","94.0","87.0","1.08"
"org/jfree/data/time/TimeTableXYDataset.java","org.jfree.data.time.TimeTableXYDataset","329.0","220.0","1.5"
"org/jfree/data/time/TimeSeriesDataItem.java","org.jfree.data.time.TimeSeriesDataItem","130.0","76.0","1.71"
"org/jfree/data/KeyedValues.java","org.jfree.data.KeyedValues","83.0","8.0","10.38"
"org/jfree/chart/labels/IntervalCategoryItemLabelGenerator.java","org.jfree.chart.labels.IntervalCategoryItemLabelGenerator","68.0","56.0","1.21"
"org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator.java","org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator","48.0","12.0","4.0"
"org/jfree/chart/renderer/category/StackedBarRenderer.java","org.jfree.chart.renderer.category.StackedBarRenderer","131.0","218.0","0.6"
"org/jfree/chart/plot/AbstractPieLabelDistributor.java","org.jfree.chart.plot.AbstractPieLabelDistributor","77.0","25.0","3.08"
"org/jfree/chart/block/EntityBlockResult.java","org.jfree.chart.block.EntityBlockResult","44.0","5.0","8.8"
"org/jfree/data/xy/XIntervalSeries.java","org.jfree.data.xy.XIntervalSeries","108.0","39.0","2.77"
"org/jfree/data/xy/XYDataItem.java","org.jfree.data.xy.XYDataItem","135.0","105.0","1.29"
"org/jfree/chart/encoders/EncoderUtil.java","org.jfree.chart.encoders.EncoderUtil","125.0","53.0","2.36"
"org/jfree/data/time/DateRange.java","org.jfree.data.time.DateRange","99.0","47.0","2.11"
"org/jfree/chart/util/TableOrder.java","org.jfree.chart.util.TableOrder","50.0","16.0","3.13"
"org/jfree/chart/util/HexNumberFormat.java","org.jfree.chart.util.HexNumberFormat","91.0","51.0","1.78"
"org/jfree/chart/block/RectangleConstraint.java","org.jfree.chart.block.RectangleConstraint","171.0","155.0","1.1"
"org/jfree/chart/plot/MultiplePiePlot.java","org.jfree.chart.plot.MultiplePiePlot","228.0","359.0","0.64"
"org/jfree/chart/renderer/category/BarPainter.java","org.jfree.chart.renderer.category.BarPainter","69.0","11.0","6.27"
"org/jfree/chart/labels/StandardCategoryItemLabelGenerator.java","org.jfree.chart.labels.StandardCategoryItemLabelGenerator","86.0","44.0","1.95"
"org/jfree/data/category/DefaultIntervalCategoryDataset.java","org.jfree.data.category.DefaultIntervalCategoryDataset","374.0","380.0","0.98"
"org/jfree/data/time/Hour.java","org.jfree.data.time.Hour","244.0","204.0","1.2"
"org/jfree/data/time/TimePeriodAnchor.java","org.jfree.data.time.TimePeriodAnchor","74.0","55.0","1.35"
"org/jfree/chart/labels/StandardPieSectionLabelGenerator.java","org.jfree.chart.labels.StandardPieSectionLabelGenerator","145.0","80.0","1.81"
